City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
175,Bucak,TR,2/6/2022 23:15,37.4592,30.595,35.51,72,0,4.45
176,Kurumkan,RU,2/6/2022 23:15,54.3,110.3,-4.74,96,56,4.23
177,Port Lincoln,AU,2/6/2022 23:15,-34.7333,135.8667,75.96,53,0,16.02
178,Tasiilaq,GL,2/6/2022 23:10,65.6145,-37.6368,23.16,57,100,45.99
179,Sheridan,US,2/6/2022 23:15,44.8333,-106.9173,44.98,35,0,4
180,Tessalit,ML,2/6/2022 23:10,20.1986,1.0114,64.11,13,0,6.71
181,Dikson,RU,2/6/2022 23:07,73.5069,80.5464,-16.83,98,95,13.27
182,Bilma,NE,2/6/2022 23:16,18.6853,12.9164,61.95,16,0,8.46
183,Tigil,RU,2/6/2022 23:16,57.8,158.6667,9.48,83,86,5.86
184,Manzanillo,CU,2/6/2022 23:16,20.3433,-77.1167,79.5,56,81,6.67
185,Markova,UA,2/6/2022 23:16,48.6758,24.4138,37.87,70,100,21.32
186,Butaritari,KI,2/6/2022 23:07,3.0707,172.7902,82.09,76,42,15.82
187,Ribeira Grande,PT,2/6/2022 23:08,38.5167,-28.7,61.43,84,11,10.94
188,San Patricio,US,2/6/2022 23:09,28.017,-97.5169,64.49,65,61,8.1
189,Port Alfred,ZA,2/6/2022 23:07,-33.5906,26.891,74.71,80,89,13.06
190,Phan Thiet,VN,2/6/2022 23:13,10.9333,108.1,72.88,77,92,4.36
191,Dzilam Gonzalez,MX,2/6/2022 23:16,21.2833,-88.9333,75.31,66,68,8.05
192,Jiayuguan,CN,2/6/2022 23:16,39.8167,98.3,8.78,95,81,1.19
193,Zhigansk,RU,2/6/2022 23:07,66.7697,123.3711,-30.6,100,94,5.14
194,Meulaboh,ID,2/6/2022 23:05,4.1363,96.1285,74.41,92,100,4.83
195,Pedernales,DO,2/6/2022 23:16,18.0384,-71.744,77.67,71,49,2.17
196,Cayenne,GF,2/6/2022 23:16,4.9333,-52.3333,80.1,87,75,4
197,Yarmouth,US,2/6/2022 23:16,41.7057,-70.2286,29.08,73,0,0
198,Kolpashevo,RU,2/6/2022 23:16,58.3131,82.9089,-6.32,100,53,4.03
199,Fairbanks,US,2/6/2022 23:16,64.8378,-147.7164,-1.98,77,100,0
200,Balkanabat,TM,2/6/2022 23:14,39.5108,54.3671,38.16,67,30,5.08
201,Coihaique,CL,2/6/2022 23:08,-45.5752,-72.0662,81.21,36,0,6.91
202,Corinto,GR,2/6/2022 23:16,37.9407,22.9573,53.83,81,59,3
203,Taltal,CL,2/6/2022 23:06,-25.4,-70.4833,69.17,67,23,4.07
204,Sept-Iles,CA,2/6/2022 23:16,50.2001,-66.3821,7.23,65,75,5.75
205,Houston,US,2/6/2022 23:15,29.7633,-95.3633,60.49,59,75,5.99
206,Maceio,BR,2/6/2022 23:13,-9.6658,-35.7353,76.44,83,0,4.61
207,Kavieng,PG,2/6/2022 23:16,-2.5744,150.7967,83.01,73,50,2.95
208,Sukhumi,GE,2/6/2022 23:16,43.0033,41.0153,37,95,99,4.36
209,Inhambane,MZ,2/6/2022 23:16,-23.865,35.3833,76.1,84,32,13.09
210,Antalaha,MG,2/6/2022 23:16,-14.9003,50.2788,75.78,87,99,3.4
211,Athabasca,CA,2/6/2022 23:15,54.7169,-113.2854,46.22,73,5,13.65
212,Itarema,BR,2/6/2022 23:14,-2.9248,-39.9167,79.65,78,50,12.01
213,Cortez,US,2/6/2022 23:16,37.3489,-108.5859,45.36,22,0,13.8
214,Kununurra,AU,2/6/2022 23:16,-15.7667,128.7333,76.98,94,100,6.91
215,Ancud,CL,2/6/2022 23:10,-41.8697,-73.8203,69.22,74,8,6.85
216,Playas,EC,2/6/2022 23:16,-2.6333,-80.3833,76.48,79,82,11.56
217,Pangody,RU,2/6/2022 23:16,65.85,74.4859,-20.79,100,79,4.5
218,Praia Da Vitoria,PT,2/6/2022 23:08,38.7333,-27.0667,60.76,94,34,17.18
219,Thinadhoo,MV,2/6/2022 23:16,0.5333,72.9333,82.09,67,77,11.21
220,Casablanca,MA,2/6/2022 23:14,33.5928,-7.6192,59.32,82,19,4
221,East London,ZA,2/6/2022 23:15,-33.0153,27.9116,72.81,84,39,15.93
222,Guaraniacu,BR,2/6/2022 23:16,-25.1008,-52.8781,67.14,63,53,3.69
223,Namibe,AO,2/6/2022 23:16,-15.1961,12.1522,74.03,67,97,10.78
224,Arrecife,ES,2/6/2022 23:16,28.963,-13.5477,66.27,77,0,14.97
225,Klaksvik,FO,2/6/2022 23:14,62.2266,-6.589,34.72,54,89,33.6
226,Huarmey,PE,2/6/2022 23:16,-10.0681,-78.1522,72.5,75,45,8.21
227,Shelburne,CA,2/6/2022 23:17,44.0787,-80.2041,26.49,78,74,13.96
228,Port Macquarie,AU,2/6/2022 23:07,-31.4333,152.9167,70.9,76,88,14.97
229,Campos Novos,BR,2/6/2022 23:17,-27.4017,-51.225,62.17,63,3,2.95
230,Samarai,PG,2/6/2022 23:17,-10.6167,150.6667,83.95,69,100,10.85
231,Mahebourg,MU,2/6/2022 23:04,-20.4081,57.7,78.26,83,87,10.16
232,Zhuanghe,CN,2/6/2022 23:17,39.7008,122.9911,19.09,72,46,4.7
233,Sao Raimundo Das Mangabeiras,BR,2/6/2022 23:17,-7.0219,-45.4811,75.22,89,96,3.24
234,Olinda,BR,2/6/2022 23:17,-8.0089,-34.8553,82.13,65,20,6.91
235,Ornskoldsvik,SE,2/6/2022 23:17,63.2909,18.7153,25.75,100,100,3.44
236,Yulara,AU,2/6/2022 23:08,-25.2406,130.9889,76.84,36,0,8.05
237,Saint-Francois,FR,2/6/2022 23:17,46.4154,3.9054,49.41,87,100,16.11
238,Guerrero Negro,MX,2/6/2022 23:17,27.9769,-114.0611,68.09,23,0,9.75
239,Riverton,US,2/6/2022 23:17,40.5219,-111.9391,44.17,52,0,7
240,Lodja,CD,2/6/2022 23:17,-3.4833,23.4333,69.3,96,100,0.74
241,Saint-Pierre,RE,2/6/2022 23:18,-21.3393,55.4781,76.68,78,0,5.75
242,Sao Filipe,CV,2/6/2022 23:09,14.8961,-24.4956,73.02,75,0,5.82
243,La Ronge,CA,2/6/2022 23:16,55.1001,-105.2842,12.45,79,100,8.05
244,Taoudenni,ML,2/6/2022 23:18,22.6783,-3.9836,68.76,12,15,11.61
245,Taguatinga,BR,2/6/2022 23:18,-12.3857,-46.5711,70.38,95,100,5.23
246,Mount Gambier,AU,2/6/2022 23:18,-37.8333,140.7667,78.33,26,0,8.77
247,Harrisonville,US,2/6/2022 23:18,38.6533,-94.3488,48.61,53,0,4.61
248,Hailar,CN,2/6/2022 23:18,49.2,119.7,-2.51,99,99,5.99
249,Lata,PT,2/6/2022 23:17,40.1629,-8.3327,46.04,65,39,4
250,Talaya,RU,2/6/2022 23:18,61.3833,152.75,-33.86,86,10,1.48
251,Conceicao Do Araguaia,BR,2/6/2022 23:18,-8.2578,-49.2647,76.33,87,46,0.94
252,Sakhnovshchyna,UA,2/6/2022 23:18,49.1517,35.872,21.33,92,87,7.65
253,Dauriya,RU,2/6/2022 23:18,49.9333,116.8667,-6.12,100,98,4.25
254,Pochutla,MX,2/6/2022 23:18,15.7432,-96.4661,82.81,53,0,6.38
255,Naruto,JP,2/6/2022 23:18,34.1833,134.6167,39.22,64,40,5.75
256,Hualmay,PE,2/6/2022 23:18,-11.0964,-77.6139,72.52,73,86,9.17
257,Dunedin,NZ,2/6/2022 23:10,-45.8742,170.5036,59.25,62,47,7
258,Mandera,KE,2/6/2022 23:18,3.9366,41.867,79.68,24,56,7.43
259,Torbay,CA,2/6/2022 23:18,47.6666,-52.7314,13.57,76,75,12.66
260,Hamilton,US,2/6/2022 23:13,39.1834,-84.5333,38.59,64,0,6.91
261,Kalmunai,LK,2/6/2022 23:15,7.4167,81.8167,74.82,82,95,8.25
262,Togur,RU,2/6/2022 23:18,58.3631,82.8265,-6.81,100,59,4.05
263,Saldanha,ZA,2/6/2022 23:18,-33.0117,17.9442,63.32,97,21,10.18
264,Winnemucca,US,2/6/2022 23:18,40.973,-117.7357,53.65,22,0,6.91
265,Ketchikan,US,2/6/2022 23:18,55.3422,-131.6461,45.07,93,100,21.85
266,West Wendover,US,2/6/2022 23:18,40.7391,-114.0733,40.51,40,2,3.31
267,Quelimane,MZ,2/6/2022 23:18,-17.8786,36.8883,78.75,89,40,4.61
268,Anamur,TR,2/6/2022 23:18,36.0751,32.8369,44.62,55,1,6.11
269,Cagli,IT,2/6/2022 23:18,43.5457,12.6527,51.01,61,20,6.91
270,Roseburg,US,2/6/2022 23:18,43.2165,-123.3417,65.32,54,0,0
271,Nuuk,GL,2/6/2022 23:18,64.1835,-51.7216,7.41,51,100,17.27
272,Bengkulu,ID,2/6/2022 23:09,-3.8004,102.2655,74.68,89,97,8.37
273,Sioux Lookout,CA,2/6/2022 23:18,50.1001,-91.917,8.98,72,20,2.3
274,Beringovskiy,RU,2/6/2022 23:19,63.05,179.3167,-15.52,96,36,5.86
275,Melilla,ES,2/6/2022 23:19,35.2937,-2.9383,59.38,77,75,8.05
276,Frutigen,CH,2/6/2022 23:19,46.5878,7.6475,43.03,83,100,7
277,Lavrentiya,RU,2/6/2022 23:19,65.5833,-171,-10.8,92,16,6.26
278,Lircay,PE,2/6/2022 23:19,-12.9896,-74.7205,48.74,88,100,4.99
279,Stuttgart,DE,2/6/2022 23:16,48.7823,9.177,44.55,92,75,20.71
280,Rockhampton,AU,2/6/2022 23:16,-23.3833,150.5,76.89,53,20,10.36
281,Chokurdakh,RU,2/6/2022 23:15,70.6333,147.9167,-40.67,100,85,2.66
282,Kayes,ML,2/6/2022 23:19,14,-11,80.11,8,0,7.45
283,College,US,2/6/2022 23:19,64.8569,-147.8028,-2,78,75,0
284,Bathsheba,BB,2/6/2022 23:19,13.2167,-59.5167,77.61,83,75,13.8
285,Surany,SK,2/6/2022 23:19,48.0861,18.1845,46.45,80,100,3.67
286,Provideniya,RU,2/6/2022 23:09,64.3833,-173.3,1.51,66,0,4.47
287,Puerto El Triunfo,SV,2/6/2022 23:19,13.2833,-88.55,86.16,63,68,3.69
288,Tura,IN,2/6/2022 23:19,25.5198,90.2201,51.12,79,0,3.22
289,Adrar,MR,2/6/2022 23:19,20.5022,-10.0711,67.3,10,0,9.08
290,Nishihara,JP,2/6/2022 23:19,26.1842,127.7558,60.08,60,100,4.61
291,Kyabram,AU,2/6/2022 23:19,-36.3167,145.05,72.88,39,0,10.16
292,Roald,NO,2/6/2022 23:19,62.5833,6.1333,39.34,75,40,13.8
293,Tahe,CN,2/6/2022 23:19,52.3333,124.7333,-12.15,98,40,3.56
294,Vila Franca Do Campo,PT,2/6/2022 23:10,37.7167,-25.4333,61.2,85,78,12.73
295,Minna,NG,2/6/2022 23:19,9.6139,6.5569,80.29,17,1,8.37
296,Carutapera,BR,2/6/2022 23:19,-1.195,-46.02,76.33,93,99,6.11
297,Tiznit,MA,2/6/2022 23:15,29.5833,-9.5,61.63,35,5,2.57
298,Port Moresby,PG,2/6/2022 23:19,-9.4431,147.1797,80.74,73,100,5.48
299,Hervey Bay,AU,2/6/2022 23:10,-25.2986,152.8535,73.04,93,42,8.99
300,Pisco,PE,2/6/2022 23:19,-13.7,-76.2167,70.02,88,36,6.91
301,Puerto Maldonado,PE,2/6/2022 23:19,-12.6,-69.1833,70.2,94,100,0
302,Loralai,PK,2/6/2022 23:19,30.3705,68.598,43.25,51,3,0.87
303,Katiola,CI,2/6/2022 23:19,8.1333,-5.1,78.44,21,8,3.31
304,Soe,ID,2/6/2022 23:19,-9.8607,124.284,69.87,85,42,2.48
305,Sabang,ID,2/6/2022 23:19,5.8933,95.3214,77.92,85,100,11.43
306,Lorengau,PG,2/6/2022 23:17,-2.0226,147.2712,82.51,80,100,8.03
307,Alice Springs,AU,2/6/2022 23:19,-23.7,133.8833,72.95,53,0,0
