City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
148,Hambantota,LK,6.1241,81.1185,75.54,75,3.44,LK,heavy intensity rain
149,Nanakuli,US,21.3906,-158.1547,80.55,75,6.91,US,broken clouds
150,Felanitx,ES,39.4696,3.1483,44.13,1,3.98,ES,clear sky
151,Amilly,FR,47.9728,2.7719,39.15,63,5.61,FR,broken clouds
152,Bud,US,39.447,-86.1758,33.17,98,6.38,US,overcast clouds
153,Torbay,CA,47.6666,-52.7314,32.58,75,14.97,CA,broken clouds
154,Severo-Kurilsk,RU,50.6789,156.125,28.98,94,4.85,RU,overcast clouds
155,Hobart,AU,-42.8794,147.3294,70.11,75,10.36,AU,broken clouds
156,Ancud,CL,-41.8697,-73.8203,51.42,8,10.94,CL,clear sky
157,Bobo Dioulasso,BF,11.1771,-4.2979,72.36,4,4.74,BF,clear sky
158,Kavaratti,IN,10.5669,72.642,79.72,62,10.89,IN,broken clouds
159,Broken Hill,AU,-31.95,141.4333,78.51,2,19.57,AU,clear sky
160,Longyearbyen,SJ,78.2186,15.6401,19.24,75,3.44,SJ,broken clouds
161,Tiksi,RU,71.6872,128.8694,-10.71,100,13.96,RU,overcast clouds
162,Lac Du Bonnet,CA,50.2536,-96.0612,21.11,100,5.75,CA,light snow
163,Namibe,AO,-15.1961,12.1522,72.28,100,5.84,AO,overcast clouds
164,Saint-Francois,FR,46.4154,3.9054,45.41,100,10.36,FR,overcast clouds
165,Geraldton,AU,-28.7667,114.6,95.41,5,14.97,AU,clear sky
166,East London,ZA,-33.0153,27.9116,69.76,45,3.62,ZA,scattered clouds
167,Brae,GB,60.3964,-1.353,37.31,95,13.76,GB,overcast clouds
168,Cidreira,BR,-30.1811,-50.2056,74.32,14,19.01,BR,few clouds
169,Ngunguru,NZ,-35.6167,174.5,78.17,74,13.0,NZ,broken clouds
170,Najran,SA,17.4924,44.1277,54.25,5,0.76,SA,clear sky
171,Kavieng,PG,-2.5744,150.7967,83.71,97,6.08,PG,light rain
172,Te Horo,NZ,-40.8084,175.1233,70.57,100,1.59,NZ,light rain
173,Saint-Denis,FR,48.9167,2.3333,39.15,0,6.91,FR,clear sky
174,Beringovskiy,RU,63.05,179.3167,-20.99,28,7.05,RU,scattered clouds
175,Bandarbeyla,SO,9.4942,50.8122,72.57,91,12.55,SO,light rain
176,Naryan-Mar,RU,67.6713,53.087,21.72,97,19.19,RU,overcast clouds
177,Tromso,NO,69.6496,18.957,32.02,75,11.5,NO,light snow
178,Zaozerne,UA,45.1582,33.2787,41.95,87,10.92,UA,overcast clouds
179,Dalby,AU,-27.1833,151.2667,91.98,0,4.0,AU,clear sky
180,Provideniya,RU,64.3833,-173.3,-7.49,0,8.95,RU,clear sky
181,Hay River,CA,60.8156,-115.7999,-4.02,75,3.44,CA,light snow
182,Mogoytuy,RU,51.2833,114.9167,-1.08,99,5.48,RU,overcast clouds
183,Zaraza,VE,9.3503,-65.3245,75.13,11,10.4,VE,few clouds
184,Sabanalarga,CO,10.6296,-74.9206,79.68,82,6.02,CO,broken clouds
185,Turbat,PK,26.0023,63.044,62.1,0,1.05,PK,clear sky
186,Iqaluit,CA,63.7506,-68.5145,1.13,75,2.3,CA,light snow
187,Acari,PE,-15.4311,-74.6158,72.48,46,4.05,PE,scattered clouds
188,Otaki,NZ,-40.7583,175.15,70.74,100,1.54,NZ,light rain
189,Mackay,AU,-21.15,149.2,91.69,0,14.97,AU,clear sky
190,Vestmannaeyjar,IS,63.4427,-20.2734,36.43,100,8.08,IS,overcast clouds
191,Ambon,ID,-3.6954,128.1814,80.74,40,3.44,ID,light rain
192,Auch,FR,43.65,0.5833,49.91,57,1.99,FR,broken clouds
193,Osakarovka,KZ,50.565,72.5692,-10.59,54,8.25,KZ,broken clouds
194,Vila Velha,BR,-20.3297,-40.2925,76.95,100,3.44,BR,overcast clouds
195,Rehoboth,NA,-23.3167,17.0833,66.2,100,10.96,NA,light rain
196,Katsuura,JP,35.1333,140.3,49.19,99,19.55,JP,overcast clouds
197,Clyde River,CA,70.4692,-68.5914,-19.97,100,14.97,CA,overcast clouds
198,Worthington,US,40.0931,-83.018,30.36,0,4.61,US,clear sky
199,Nueva Gerona,CU,21.8833,-82.8,72.77,2,17.13,CU,clear sky
200,Ukiah,US,39.1502,-123.2078,67.51,0,0.0,US,clear sky
201,Norman Wells,CA,65.282,-126.8329,-12.96,20,5.75,CA,few clouds
202,Jian,CN,27.1172,114.9793,44.02,99,4.97,CN,overcast clouds
203,Arraial Do Cabo,BR,-22.9661,-42.0278,72.1,100,1.7,BR,moderate rain
204,Coquimbo,CL,-29.9533,-71.3436,64.13,100,6.91,CL,overcast clouds
205,Songea,TZ,-10.6833,35.65,63.66,99,1.57,TZ,light rain
206,Nikolskoye,RU,59.7035,30.7861,33.87,96,8.59,RU,overcast clouds
207,San Patricio,US,28.017,-97.5169,59.83,100,7.16,US,overcast clouds
208,Grand Gaube,MU,-20.0064,57.6608,75.6,4,6.24,MU,clear sky
209,Tasiilaq,GL,65.6145,-37.6368,17.76,100,6.46,GL,overcast clouds
210,Hithadhoo,MV,-0.6,73.0833,80.91,100,3.98,MV,overcast clouds
211,Grindavik,IS,63.8424,-22.4338,32.47,75,5.75,IS,broken clouds
212,Chernushka,RU,56.5072,56.0766,19.15,100,11.39,RU,light snow
213,Aklavik,CA,68.2191,-135.0107,-17.57,19,0.51,CA,few clouds
214,Constitucion,CL,-35.3333,-72.4167,58.87,100,4.88,CL,overcast clouds
215,Fez,MA,34.0372,-4.9998,46.65,0,6.91,MA,clear sky
216,Ponerihouen,NC,-21.0833,165.4,85.26,100,13.4,NC,overcast clouds
217,Vao,NC,-22.6667,167.4833,81.82,100,35.57,NC,light rain
218,Strezhevoy,RU,60.7333,77.5889,-9.42,57,5.37,RU,broken clouds
219,Barrow,US,71.2906,-156.7887,-16.58,100,9.22,US,haze
220,Dzaoudzi,YT,-12.7887,45.2699,76.89,0,2.3,YT,clear sky
221,Klyuchi,RU,52.2667,79.1667,-22.9,95,3.15,RU,overcast clouds
222,Marsh Harbour,BS,26.5412,-77.0636,72.79,98,13.29,BS,overcast clouds
223,Srivardhan,IN,18.0333,73.0167,71.51,17,7.02,IN,few clouds
224,Leh,IN,34.1667,77.5833,-12.93,58,4.18,IN,broken clouds
225,Asau,RO,46.4333,26.4,38.95,100,7.07,RO,overcast clouds
226,Sawakin,SD,19.1059,37.3321,70.99,100,16.87,SD,overcast clouds
227,Waiuku,NZ,-37.25,174.75,81.28,89,7.7,NZ,overcast clouds
228,Sao Filipe,CV,14.8961,-24.4956,76.93,98,4.34,CV,overcast clouds
229,Nizip,TR,37.0097,37.7942,39.33,13,8.93,TR,few clouds
230,Avera,US,33.194,-82.5271,57.07,8,5.37,US,clear sky
231,Nanortalik,GL,60.1432,-45.2371,26.8,100,4.9,GL,overcast clouds
232,Lewisville,US,33.0462,-96.9942,62.67,0,6.91,US,clear sky
233,Opuwo,NA,-18.0607,13.84,66.18,100,2.1,NA,overcast clouds
234,Nea Manolas,GR,38.05,21.3833,46.11,0,0.0,GR,clear sky
235,Klaksvik,FO,62.2266,-6.589,36.52,93,25.52,FO,overcast clouds
236,Mugur-Aksy,RU,50.35,90.5,-18.2,24,5.06,RU,few clouds
237,Newcastleton,GB,55.1796,-2.8127,31.28,10,1.99,GB,clear sky
238,Amurzet,RU,47.6967,131.0981,9.16,100,4.59,RU,overcast clouds
239,Lop Buri,TH,14.7981,100.654,83.19,46,4.09,TH,scattered clouds
240,Palmer,US,42.1584,-72.3287,40.06,20,0.0,US,few clouds
241,Porechye-Rybnoye,RU,57.098,39.3835,31.91,100,10.96,RU,snow
242,Yeppoon,AU,-23.1333,150.7333,85.78,0,13.4,AU,clear sky
243,Tilichiki,RU,60.4667,166.1,-5.67,5,7.09,RU,clear sky
244,Yauya,PE,-8.9833,-77.3,49.23,100,5.3,PE,moderate rain
245,Berlevag,NO,70.8578,29.0864,23.27,100,10.98,NO,overcast clouds
246,Ihosy,MG,-22.4,46.1167,68.22,83,6.06,MG,broken clouds
247,Estevan,CA,49.1334,-102.9842,35.94,100,24.25,CA,overcast clouds
248,Kirakira,SB,-10.4544,161.9205,83.16,82,9.08,SB,broken clouds
249,Havelock,US,34.8791,-76.9013,52.95,8,1.99,US,clear sky
250,Kabalo,CD,-6.05,26.9167,68.04,100,3.44,CD,overcast clouds
251,Lesnoye,RU,58.2841,35.5158,29.35,100,8.46,RU,light snow
252,Puerto Carreno,CO,6.189,-67.4859,83.48,64,8.63,CO,broken clouds
253,Richards Bay,ZA,-28.783,32.0377,70.12,30,5.26,ZA,scattered clouds
254,Ribeira Grande,PT,38.5167,-28.7,59.97,100,10.09,PT,overcast clouds
255,Aleksandrovskoye,RU,44.7142,43.0008,37.54,72,16.62,RU,broken clouds
256,West Plains,US,36.7281,-91.8524,48.09,0,5.01,US,clear sky
257,Beloha,MG,-25.1667,45.05,73.09,69,9.24,MG,broken clouds
258,Taoudenni,ML,22.6783,-3.9836,58.75,2,10.49,ML,clear sky
259,Cuenca,EC,-2.8833,-78.9833,57.33,75,4.61,EC,light rain
260,Hualmay,PE,-11.0964,-77.6139,70.74,100,5.95,PE,overcast clouds
261,Mutoko,ZW,-17.397,32.2268,61.21,97,2.68,ZW,overcast clouds
262,Waingapu,ID,-9.6567,120.2641,82.65,98,2.26,ID,overcast clouds
263,Providencia,MX,28.7167,-111.5833,75.25,0,8.97,MX,clear sky
264,Pitimbu,BR,-7.4706,-34.8086,81.19,51,9.35,BR,broken clouds
265,Fort-Shevchenko,KZ,44.5086,50.263,36.03,64,14.85,KZ,broken clouds
266,Waspan,NI,14.7419,-83.9717,70.9,4,4.0,NI,clear sky
267,Vannes,FR,47.8333,-2.5,39.27,6,6.38,FR,clear sky
268,Homer,US,59.6425,-151.5483,32.77,0,5.75,US,clear sky
269,Havoysund,NO,70.9963,24.6622,34.68,96,24.81,NO,light snow
270,Leningradskiy,RU,69.3833,178.4167,-23.55,70,3.04,RU,broken clouds
271,Mahebourg,MU,-20.4081,57.7,75.49,40,2.3,MU,scattered clouds
272,Save,BJ,8.0425,2.486,77.92,0,3.87,BJ,clear sky
273,Prado,BR,-17.3411,-39.2208,76.96,2,7.09,BR,clear sky
274,Rio Tuba,PH,8.5061,117.4317,82.81,95,16.08,PH,overcast clouds
275,Uglovskoye,RU,51.3557,80.1942,-18.51,99,3.67,RU,overcast clouds
276,Ambilobe,MG,-13.2,49.05,72.93,99,1.81,MG,light rain
277,Nicoya,CR,10.1483,-85.452,78.35,14,3.8,CR,few clouds
278,Zhigansk,RU,66.7697,123.3711,-23.48,100,12.3,RU,overcast clouds
279,Coihaique,CL,-45.5752,-72.0662,49.95,0,8.05,CL,clear sky
280,Tautira,PF,-17.7333,-149.15,86.02,13,11.81,PF,few clouds
281,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,74.35,99,2.39,BR,overcast clouds
282,Sur,OM,22.5667,59.5289,66.36,0,4.88,OM,clear sky
283,Auki,SB,-8.7676,160.7034,81.52,90,8.21,SB,light rain
284,Mizdah,LY,31.4451,12.9801,44.31,19,4.94,LY,few clouds
285,Hurghada,EG,27.2574,33.8129,54.82,0,15.82,EG,clear sky
286,Solnechnyy,RU,50.7214,136.6319,10.87,100,3.53,RU,overcast clouds
287,Siocon,PH,7.7061,122.1353,84.36,100,4.76,PH,overcast clouds
